Lead_ID,Student_ID,Date_of_Enquiry,City,Source,Course_Type,Conversion_Status,Date_of_Joining,Fees_Quoted
L93204931,,10/03/2025,Gurugram,School Seminar,1 Yr,Not Converted,,
L62878114,,03/02/2023,Indore,Referral,1-Year,Not Converted,,
L13512591,S0470446,14/12/2023,Surat,School Seminar,2 Yr,Converted,01/03/2024,121466.0
L23143340,S2576050,2023-04-05,Mumbai,Social Media,One-Year,Converted,2023-05-19,119223.0
L86302359,,2023-03-13,Mumbai,Social Media,1 Yr,Not Converted,,
L15981959,,07-04-2024,Nashik,Social Media,2-Year,Not Converted,,
L66963683,,2023-06-03,Thane,Referral,1 Yr,Not Converted,,
L84365362,S9105183,2023-09-07,Ahmedabad,School Seminar,One-Year,Converted,09-18-2023,120023.0
L59268377,S2823658,04/11/2024,Ghaziabad,Social Media,2 Yr,Converted,01-29-2025,160737.0
L60321209,,2024-03-13,Ahmedabad,Walk-in,1-Year,Not Converted,,
L59732675,S0854802,04-28-2023,Vadodara,Walk-in,2 Yr,Converted,07-20-2023,183612.0
L96208325,S6360781,02-09-2025,Kanpur,Walk-in,2 Yr,Converted,2025-04-25,116371.0
L96267633,S1200186,09/06/2025,Varanasi,Referral,1-Year,Converted,28/07/2025,157612.0
L40801612,S8724222,02/11/2023,Varanasi,Walk-in,1-Year,Converted,2023-12-05,180919.0
L05892073,S8741764,25/09/2023,Thane,Social Media,1 Yr,Converted,2023-11-12,182352.0
L72122462,,2023-02-23,Surat,Social Media,2 Yr,Not Converted,,
L70931457,S2314110,2023-08-24,Kanpur,Agent,2 Yr,Converted,2023-10-25,164041.0
L78703879,,01-24-2024,Rajkot,Social Media,2year,Not Converted,,
L51724436,,2025-01-03,Surat,Social Media,1-Year,Not Converted,,
L01411057,,02-01-2025,Kolkata,Website,1-Year,Not Converted,,
L49993465,,04/04/2025,Bengaluru,Social Media,2 Yr,Not Converted,,
L40935142,,02-05-2024,Thane,Walk-in,1-Year,Not Converted,,
L97546669,,2024-09-15,Thane,Social Media,1 Yr,Not Converted,,
L72086666,,02-05-2025,Srinagar,Referral,1 Yr,Not Converted,,
L24626980,,2023-10-30,Kolkata,Social Media,1-Year,Not Converted,,
L76935951,,2023-07-26,Kanpur,Social Media,1-Year,Not Converted,,
L48239633,,08-17-2023,Varanasi,Referral,1 Yr,Not Converted,,
L48706731,S8694432,02/05/2025,Varanasi,Walk-in,2-Year,Converted,28/07/2025,116153.0
L79339800,,2025-06-28,Kanpur,Referral,2year,Not Converted,,
L65671371,,31/07/2024,Thane,Website,1-Year,Not Converted,,
L19481017,,2023-03-16,Lucknow,Social Media,1-Year,Not Converted,,
L29466812,S0346401,03-10-2024,Amritsar,Referral,1year,Converted,2024-05-26,178079.0
L32354610,S8247326,13/04/2023,Hyderabad,Walk-in,2-Year,Converted,2023-05-02,184794.0
L70590506,,26/02/2024,Amritsar,Website,1-Year,Not Converted,,
L97943438,S6215168,04/12/2024,Nashik,Social Media,2-Year,Converted,05/01/2025,115980.0
L98963033,,2025-02-02,Patna,Walk-in,1 Yr,Not Converted,,
L14678168,,2025-01-07,Mumbai,Website,1-Year,Not Converted,,
L26836644,,03-16-2025,Thane,Social Media,2 Yr,Not Converted,,
L19980308,,02/11/2023,Nagpur,Website,2 Yr,Not Converted,,
L34646049,,08/04/2023,Chennai,Social Media,1-Year,Not Converted,,
L99897211,,04-29-2025,Agra,Walk-in,1 Yr,Not Converted,,
L55851736,,2025-03-08,,Website,2-Year,Not Converted,,
L58141622,,12-01-2023,Vadodara,Walk-in,1-Year,Not Converted,,
L76047199,,2025-05-08,Faridabad,Referral,1-Year,Not Converted,,
L72248115,,10/03/2024,Bengaluru,Social Media,2 Yr,Not Converted,,
L70689766,,22/03/2024,Nagpur,Website,1 Yr,Not Converted,,
L37736588,S0812939,04/11/2023,Hyderabad,Referral,1-Year,Converted,29/11/2023,117384.0
L21007971,S3580829,2023-09-06,Ghaziabad,Social Media,2year,Converted,10-01-2023,123990.0
L38950058,,2023-06-15,Gurugram,Walk-in,1 Yr,Not Converted,,
L93367562,S2295743,2024-04-25,Agra,Referral,One-Year,Converted,05-31-2024,157938.0
L35419844,,12-01-2023,Bengaluru,Social Media,2-Year,Not Converted,,
L61687539,S8672289,25/06/2024,Surat,Social Media,1 Yr,Converted,22/09/2024,121187.0
L19748473,,01-28-2025,Vadodara,Social Media,2-Year,Not Converted,,
L93827870,S1845598,16/04/2023,Nagpur,Walk-in,1-Year,Converted,06-03-2023,137316.0
L81439689,,16/07/2024,Varanasi,Walk-in,1-Year,Not Converted,,
L53697352,S1224845,03-22-2023,Varanasi,Referral,One-Year,Converted,04/05/2023,162909.0
L61831758,,05-13-2023,Ghaziabad,School Seminar,One-Year,Not Converted,,
L87411621,S7118757,03-07-2025,Kanpur,Website,One-Year,Converted,02/04/2025,161574.0
L27707569,S3886829,06-18-2025,Ahmedabad,Walk-in,2-Year,Converted,25/07/2025,160529.0
L19489091,,05-18-2023,Hyderabad,Social Media,2-Year,Not Converted,,
L09659640,S9209077,03/07/2023,Surat,Walk-in,2-Year,Converted,18/07/2023,143731.0
L24696367,S9356449,05/02/2024,Nagpur,Referral,2-Year,Converted,04-29-2024,136460.0
L67862631,,11-26-2023,Agra,Walk-in,2 Yr,Not Converted,,
L04650552,S7413811,23/02/2025,Agra,Walk-in,1-Year,Converted,05-14-2025,139739.0
L77146450,,05-22-2024,Bengaluru,Referral,1-Year,Not Converted,,
L09718055,S9902527,2025-05-01,Nagpur,Website,2-Year,Converted,12/07/2025,180238.0
L84557717,S2128414,2023-03-10,Pune,Social Media,One-Year,Converted,2023-04-25,183543.0
L98151581,,2024-06-29,Chennai,Walk-in,1-Year,Not Converted,,
L12158095,S5380682,02-12-2025,Varanasi,Social Media,2-Year,Converted,2025-02-25,118908.0
L35490395,,2023-02-22,Mumbai,Website,1-Year,Not Converted,,
L76456593,,03-25-2024,Nagpur,Social Media,1 Yr,Not Converted,,
L52082128,S5956992,07-24-2023,Pune,Social Media,1-Year,Converted,2023-09-06,138122.0
L96231602,,2023-05-06,Ranchi,Social Media,Two-Year,Not Converted,,
L39402465,S1959163,2025-01-16,Vadodara,Referral,2-Year,Converted,29/01/2025,124124.0
L07961368,S9879910,2023-02-12,Ahmedabad,Social Media,1year,Converted,04-13-2023,178500.0
L64194060,S2978753,2025-01-21,Bhopal,Walk-in,1-Year,Converted,02-08-2025,116230.0
L11506332,S5657010,2025-06-01,Faridabad,Referral,1-Year,Converted,06-21-2025,181051.0
L82039319,,2023-04-21,Gurugram,Social Media,1-Year,Not Converted,,
L17384578,S6118721,30/01/2025,Kolkata,Social Media,1 Yr,Converted,04-09-2025,177596.0
L56819337,,24/10/2024,Ranchi,School Seminar,2 Yr,Not Converted,,
L95584105,,2023-07-02,Amritsar,Walk-in,2-Year,Not Converted,,
L11370797,S0229783,04-27-2025,Amritsar,Walk-in,2-Year,Converted,05-30-2025,137430.0
L26719752,,04-05-2023,Ludhiana,Walk-in,1 Yr,Not Converted,,
L49883894,,01-09-2024,Ludhiana,Social Media,2 Yr,Not Converted,,
L30079107,S8126774,06-30-2025,Nagpur,Social Media,2-Year,Converted,2025-07-19,161943.0
L54894574,S0095911,2024-06-03,Meerut,Social Media,2-Year,Converted,06-25-2024,116657.0
L59864697,,18/06/2025,Patna,School Seminar,2-Year,Not Converted,,
L77727988,,12-26-2023,Agra,Agent,One-Year,Not Converted,,
L56696852,,2025-06-18,Indore,Referral,2-Year,Not Converted,,
L08594331,S8980066,11-26-2024,Faridabad,Social Media,1-Year,Converted,2024-11-27,136752.0
L92571222,,2023-10-08,Varanasi,Social Media,2-Year,Not Converted,,
L75239680,,14/07/2023,Chennai,Social Media,1-Year,Not Converted,,
L46436330,,13/05/2025,Varanasi,Walk-in,1 Yr,Not Converted,,
L81314051,S2322266,2023-07-14,Patna,Social Media,1year,Converted,03/08/2023,137978.0
L14162324,,28/10/2024,Srinagar,Website,1 Yr,Not Converted,,
L18148134,S4934250,03/04/2023,Indore,Referral,2 Yr,Converted,06-12-2023,143892.0
L38110379,,2024-11-02,Kanpur,Website,2-Year,Not Converted,,
L11462457,,03-02-2023,Amritsar,School Seminar,1-Year,Not Converted,,
L73785983,,09-25-2024,Ahmedabad,School Seminar,2-Year,Not Converted,,
L11015726,S1191489,2023-02-20,Srinagar,Walk-in,1-Year,Converted,24/04/2023,122100.0
L39742472,,07/02/2024,Thane,Walk-in,Two-Year,Not Converted,,
L15278928,,27/02/2025,Bhopal,Walk-in,2-Year,Not Converted,,
L17875195,,05/01/2023,Lucknow,Walk-in,1 Yr,Not Converted,,
L62109946,,04-10-2024,Vadodara,Walk-in,2-Year,Not Converted,,
L00436234,S9903198,26/08/2024,Surat,Agent,2 Yr,Converted,22/10/2024,156764.0
L56322343,,2024-11-12,Mumbai,Walk-in,2-Year,Not Converted,,
L00072491,,08/04/2025,Jaipur,School Seminar,1 Yr,Not Converted,,
L19330058,,17/06/2024,Delhi,Website,1-Year,Not Converted,,
L37375362,,2024-02-09,,Social Media,2-Year,Not Converted,,
L38171596,,17/04/2025,Gurugram,Social Media,1-Year,Not Converted,,
L17905379,,05-27-2024,Nagpur,Referral,2-Year,Not Converted,,
L27015288,S1792610,2024-10-06,Faridabad,Referral,2-Year,Converted,11-20-2024,164614.0
L99847904,,08-21-2023,Surat,School Seminar,2-Year,Not Converted,,
L95056105,,2024-06-07,Agra,Referral,2-Year,Not Converted,,
L76736891,,12-12-2023,Rajkot,Walk-in,1-Year,Not Converted,,
L73742112,,02-15-2023,Gurugram,Referral,2 Yr,Not Converted,,
L68747532,S5601920,06-29-2024,Nagpur,Social Media,1 Yr,Converted,04/07/2024,143714.0
L75102018,,03-19-2023,Rajkot,Walk-in,2 Yr,Not Converted,,
L92762850,S4534399,30/12/2024,Jaipur,School Seminar,2 Yr,Converted,03-04-2025,182053.0
L36307574,S0320140,2025-03-23,,Social Media,1-Year,Converted,05-01-2025,156738.0
L63088291,S8233409,03-14-2023,Delhi,Walk-in,2 Yr,Converted,03-19-2023,180269.0
L95977173,,03-04-2025,Ghaziabad,Walk-in,1 Yr,Not Converted,,
L68658225,,09-06-2023,Agra,Social Media,1 Yr,Not Converted,,
L87127390,S2873827,16/02/2023,Nashik,Social Media,2-Year,Converted,2023-05-04,183690.0
L11814760,,01/05/2023,Hyderabad,Agent,1-Year,Not Converted,,
L11360029,S9227980,02/08/2023,Gurugram,Referral,Two-Year,Converted,26/10/2023,155484.0
L91578630,,08-27-2023,Pune,Social Media,2-Year,Not Converted,,
L87602016,,02-25-2023,Ludhiana,Social Media,1 Yr,Not Converted,,
L09917372,,12-16-2023,Kolkata,Walk-in,2year,Not Converted,,
L45413106,S5830389,04-17-2023,Lucknow,Walk-in,1-Year,Converted,05-12-2023,155627.0
L61812581,,04-10-2025,Patna,Walk-in,2 Yr,Not Converted,,
L90416283,,17/02/2023,Nagpur,Social Media,2-Year,Not Converted,,
L88111193,,2024-07-26,Chennai,Website,2-Year,Not Converted,,
L61998615,S1851189,2023-12-03,Pune,Referral,1-Year,Converted,2023-12-24,179287.0
L56163831,,2023-01-26,Nagpur,Social Media,2-Year,Not Converted,,
L96987009,,2025-03-14,Meerut,Referral,2 Yr,Not Converted,,
L16337740,S8055089,14/09/2023,Ranchi,Referral,2 Yr,Converted,21/11/2023,120166.0
L59209133,S0114334,01-08-2023,Bengaluru,Website,1 Yr,Converted,02-12-2023,164331.0
L46473862,,16/09/2024,Nagpur,Website,2 Yr,Not Converted,,
L44558354,,2025-05-16,Hyderabad,Social Media,2 Yr,Not Converted,,
L56772090,,2023-09-10,Delhi,Website,2-Year,Not Converted,,
L59903888,S5961953,2024-11-22,Agra,School Seminar,1 Yr,Converted,13/01/2025,139540.0
L21899280,,19/12/2024,Ghaziabad,Website,1-Year,Not Converted,,
L19730937,,10-30-2023,Pune,Social Media,1-Year,Not Converted,,
L60880300,,30/09/2024,Ahmedabad,Walk-in,2-Year,Not Converted,,
L58117762,,2023-02-25,Delhi,Social Media,2year,Not Converted,,
L43762180,S3872384,26/12/2024,Varanasi,School Seminar,2-Year,Converted,04/01/2025,122476.0
L75086858,,09/06/2024,,Social Media,2year,Not Converted,,
L95741959,,18/04/2024,Chennai,Walk-in,2-Year,Not Converted,,
L12621758,S2358233,28/01/2023,Ahmedabad,Social Media,1year,Converted,2023-04-06,123664.0
L84368186,,2023-03-19,Srinagar,Social Media,2-Year,Not Converted,,
L11068025,,04/08/2023,Amritsar,Walk-in,1 Yr,Not Converted,,
L05735602,,21/01/2024,Nagpur,Website,1-Year,Not Converted,,
L95570390,S9819492,2023-12-31,Mumbai,Walk-in,1-Year,Converted,03-10-2024,176914.0
L32317797,,10-27-2024,Mumbai,Website,Two-Year,Not Converted,,
L04718153,,06-09-2024,Vadodara,Social Media,2 Yr,Not Converted,,
L58214807,S4381940,11-29-2024,Nagpur,Referral,1-Year,Converted,19/02/2025,123549.0
L88671957,,08/11/2023,Delhi,Referral,2-Year,Not Converted,,
L69373384,S6523797,2025-06-01,Ghaziabad,Social Media,1 Yr,Converted,27/07/2025,175866.0
L87326016,S7105491,01-07-2023,Delhi,Walk-in,2-Year,Converted,09/03/2023,176028.0
L48185970,S6532089,01-03-2023,Rajkot,Walk-in,2-Year,Converted,02/02/2023,138728.0
L03912301,S0627549,14/09/2024,Lucknow,Walk-in,1year,Converted,24/09/2024,159803.0
L72428611,S1038286,19/01/2025,Mumbai,Walk-in,2-Year,Converted,2025-03-02,163318.0
L50848913,,29/12/2023,Ghaziabad,Walk-in,2-Year,Not Converted,,
L89365286,,2025-01-20,Nagpur,Social Media,1-Year,Not Converted,,
L66728082,,2024-05-22,,Social Media,2 Yr,Not Converted,,
L13034046,S9077621,01/10/2023,Patna,Walk-in,1-Year,Converted,2023-10-08,156652.0
L94079971,,20/05/2024,Jaipur,Social Media,2-Year,Not Converted,,
L33947420,,03-16-2025,Nashik,Social Media,2-Year,Not Converted,,
L14630639,S0072667,08/01/2025,Jaipur,Referral,2-Year,Converted,2025-01-16,179708.0
L34408962,,01/06/2025,Ranchi,Walk-in,2 Yr,Not Converted,,
L60042785,,2023-01-15,Kanpur,Social Media,1-Year,Not Converted,,
L62809371,,07-11-2023,Vadodara,Walk-in,Two-Year,Not Converted,,
L34461636,S5808257,2024-09-22,Mumbai,Walk-in,1 Yr,Converted,09-27-2024,160859.0
L30750663,S9694364,2024-04-29,Indore,Social Media,2 Yr,Converted,01/05/2024,183370.0
L99773141,,2023-01-28,Varanasi,School Seminar,1 Yr,Not Converted,,
L81945048,,12-14-2024,Rajkot,Walk-in,2-Year,Not Converted,,
L14902945,S4574179,02-08-2023,Kolkata,Walk-in,2 Yr,Converted,04-15-2023,178595.0
L13399508,S5978257,2023-09-30,Kolkata,Walk-in,One-Year,Converted,11-16-2023,138254.0
L08586644,,19/08/2023,Varanasi,Social Media,1year,Not Converted,,
L35571141,,03-27-2023,Amritsar,Walk-in,Two-Year,Not Converted,,
L55386426,,04-18-2024,Bengaluru,Referral,1 Yr,Not Converted,,
L98981664,S4298506,06/05/2023,Indore,Website,One-Year,Converted,01/06/2023,137423.0
L47904502,,22/03/2025,Surat,School Seminar,1 Yr,Not Converted,,
L42431419,S5648972,20/06/2024,Srinagar,Walk-in,1 Yr,Converted,04/08/2024,141981.0
L94877032,S1554469,2023-05-25,Bengaluru,Social Media,1 Yr,Converted,08-20-2023,141681.0
L28287429,S2188968,08/06/2024,Kolkata,Social Media,1-Year,Converted,06-22-2024,138429.0
L40138853,,31/07/2023,Meerut,Social Media,2 Yr,Not Converted,,
L99291688,,25/01/2023,Mumbai,Referral,Two-Year,Not Converted,,
L51691954,,2024-08-02,Bhopal,Social Media,2-Year,Not Converted,,
L08567862,S4075541,29/01/2024,Indore,Referral,1-Year,Converted,26/03/2024,178133.0
L59204650,S8001793,03-08-2023,Surat,Social Media,2-Year,Converted,25/05/2023,136932.0
L79037146,S6107830,2023-08-21,Nagpur,Agent,1-Year,Converted,09-30-2023,160412.0
L32825277,S8073260,04-19-2023,Patna,Social Media,1-Year,Converted,2023-06-03,140247.0
L76296651,,26/05/2023,Chennai,Website,2-Year,Not Converted,,
L45128043,S8296478,2023-04-21,Vadodara,Website,1 Yr,Converted,16/07/2023,161171.0
L83400906,S2624505,16/08/2023,Rajkot,Referral,1 Yr,Converted,10-16-2023,163874.0
L33981015,S2777820,04-21-2023,Meerut,Walk-in,1-Year,Converted,06-19-2023,180931.0
L60994651,S4887946,2024-04-14,Chennai,Referral,1-Year,Converted,2024-06-19,135018.0
L79100518,,2023-02-03,Chennai,Walk-in,2-Year,Not Converted,,
L12327924,,09-14-2024,Jaipur,Social Media,2-Year,Not Converted,,
L93527453,,2025-02-14,Kanpur,Social Media,1-Year,Not Converted,,
L11682357,,01-04-2024,Nagpur,Walk-in,1-Year,Not Converted,,
L37948478,S5440472,01-17-2025,Nashik,Referral,1-Year,Converted,2025-04-11,115464.0
L66453601,S9145131,2024-08-17,Mumbai,Walk-in,2year,Converted,2024-10-07,160310.0
L05528693,,07/07/2024,Mumbai,Social Media,2-Year,Not Converted,,
L01373063,,29/02/2024,Nagpur,Referral,2-Year,Not Converted,,
L71303478,S4009698,2024-09-04,Nashik,Social Media,2 Yr,Converted,20/09/2024,139020.0
L53651268,S2060516,06-01-2024,Pune,Social Media,2-Year,Converted,06/07/2024,175294.0
L80847331,S7385309,11-22-2024,Ludhiana,Social Media,2 Yr,Converted,01-28-2025,121844.0
L84941133,S8048197,2023-10-09,Jaipur,Social Media,2 Yr,Converted,2023-11-28,120427.0
L52689928,S7138890,16/11/2023,Ranchi,Social Media,1year,Converted,2023-12-15,115194.0
L48906008,S8098789,01-07-2025,Ranchi,School Seminar,1 Yr,Converted,2025-03-22,161343.0
L72745363,S3125034,18/03/2024,Lucknow,Social Media,1year,Converted,03-20-2024,183637.0
L64891360,S5408160,11-11-2023,Ahmedabad,Walk-in,2 Yr,Converted,01-30-2024,122636.0
L00136411,S2111137,26/05/2025,Nagpur,Social Media,2-Year,Converted,03/08/2025,135930.0
L93999827,,10/01/2025,Ahmedabad,Website,2 Yr,Not Converted,,
L19036821,,2024-01-12,Agra,Referral,Two-Year,Not Converted,,
L14187894,,2023-10-16,Varanasi,Social Media,2 Yr,Not Converted,,
L41556937,S9534108,2024-03-12,Agra,Referral,1-Year,Converted,03-26-2024,159367.0
L22205867,,23/10/2024,Varanasi,Referral,Two-Year,Not Converted,,
L20900281,S8138753,2023-10-04,Nagpur,Walk-in,1-Year,Converted,2023-12-30,178294.0
L12558734,,10/12/2024,Chennai,Social Media,1 Yr,Not Converted,,
L15923985,S9791786,04/08/2024,Faridabad,Agent,1 Yr,Converted,2024-09-19,159747.0
L71213861,S9825343,2024-05-17,Kanpur,Referral,1 Yr,Converted,2024-06-27,157834.0
L87281064,,15/09/2024,Agra,Social Media,1-Year,Not Converted,,
L29041550,,2024-05-30,Jaipur,Walk-in,2-Year,Not Converted,,
L20674245,,16/12/2023,Bengaluru,Referral,2-Year,Not Converted,,
L54466920,S0829612,2025-04-22,,School Seminar,2 Yr,Converted,07/07/2025,124846.0
L02012673,S1143541,2024-03-21,Chennai,Referral,1-Year,Converted,06/06/2024,122425.0
L17822732,S9114666,2025-04-09,,Walk-in,2-Year,Converted,04-29-2025,161494.0
L57057439,,16/12/2023,,Social Media,One-Year,Not Converted,,
L23018104,,2024-08-29,Rajkot,School Seminar,1-Year,Not Converted,,
L31206859,,25/10/2024,Agra,Walk-in,1-Year,Not Converted,,
L54218598,S2744782,02/04/2025,Vadodara,Social Media,1 Yr,Converted,2025-04-11,162444.0
L51103747,,2023-05-17,Srinagar,Social Media,1 Yr,Not Converted,,
L92430378,S8175410,01-28-2025,Jaipur,Social Media,2 Yr,Converted,02-05-2025,161610.0
L78951670,S6269487,06-17-2025,Thane,Agent,1-Year,Converted,22/07/2025,123793.0
L98614279,,2023-08-31,Ludhiana,Social Media,1 Yr,Not Converted,,
L37196986,,2024-06-26,Nagpur,Referral,2 Yr,Not Converted,,
L84952683,S1369789,09/02/2023,Indore,Social Media,Two-Year,Converted,25/04/2023,180187.0
L49305364,S8596271,08-17-2023,Surat,Referral,1 Yr,Converted,20/08/2023,123302.0
L49729464,S2932835,2024-07-01,Vadodara,Walk-in,2 Yr,Converted,13/07/2024,177734.0
L19663270,S7934928,11/08/2023,Srinagar,Agent,2-Year,Converted,13/10/2023,136066.0
L02503460,S4324728,06/01/2023,Kolkata,Referral,1 Yr,Converted,03-24-2023,176317.0
L23286710,S9429787,2023-11-18,Amritsar,School Seminar,1-Year,Converted,12-17-2023,162794.0
L29150243,S9276187,2024-04-12,Nashik,Referral,1-Year,Converted,01/05/2024,155047.0
L86490233,,01-01-2025,Varanasi,Social Media,2-Year,Not Converted,,
L56356115,,2023-03-16,Vadodara,Social Media,1-Year,Not Converted,,
L30565384,,01-04-2023,Rajkot,Walk-in,2 Yr,Not Converted,,
L14397444,,26/04/2025,Delhi,Agent,2-Year,Not Converted,,
L40594763,,07/10/2024,Varanasi,Website,1-Year,Not Converted,,
L25155273,S9632080,2023-04-28,Mumbai,Social Media,2-Year,Converted,27/06/2023,162842.0
L40884008,S1133389,30/05/2025,Ranchi,Social Media,1-Year,Converted,2025-08-26,181450.0
L63024307,,28/08/2024,,Social Media,2year,Not Converted,,
L67021742,,18/05/2024,Lucknow,Website,2-Year,Not Converted,,
L68339046,,07-27-2024,Kolkata,Website,1year,Not Converted,,
L10610248,,2024-03-16,Meerut,School Seminar,1-Year,Not Converted,,
L40149885,,2023-07-13,Ahmedabad,Referral,1-Year,Not Converted,,
L86864618,S3955929,26/04/2025,Srinagar,Referral,2-Year,Converted,21/06/2025,161164.0
L61754269,S7323489,2024-12-15,Hyderabad,Referral,2-Year,Converted,16/12/2024,179065.0
L46361440,S5743436,27/01/2024,Hyderabad,Social Media,1year,Converted,04-18-2024,143408.0
L45036860,S1072651,01-26-2023,,Referral,One-Year,Converted,04-15-2023,164065.0
L99472938,S8437034,2024-03-10,Agra,Social Media,2-Year,Converted,2024-04-29,142068.0
L53730637,S0309371,22/06/2023,Srinagar,Social Media,2 Yr,Converted,2023-07-07,142958.0
L37727339,S8236103,10-27-2023,Surat,Website,1-Year,Converted,04/12/2023,124674.0
L63465975,,06/10/2024,Agra,School Seminar,2 Yr,Not Converted,,
L13936408,S8935026,11-22-2023,Ghaziabad,Referral,Two-Year,Converted,07/12/2023,158586.0
L10194798,,2024-02-14,Ghaziabad,Referral,2-Year,Not Converted,,
L72818740,,04-28-2023,Nashik,Referral,2 Yr,Not Converted,,
L61807689,,2025-04-15,Vadodara,Walk-in,1-Year,Not Converted,,
L36395124,,25/02/2025,Indore,School Seminar,1-Year,Not Converted,,
L22188156,S3347771,2024-12-24,Jaipur,School Seminar,1 Yr,Converted,03-17-2025,124175.0
L62883450,S0668068,08-13-2023,Meerut,Walk-in,One-Year,Converted,27/10/2023,142050.0
L17964854,,2024-06-15,Kolkata,Social Media,1-Year,Not Converted,,
L36510430,,2023-04-23,Nashik,Social Media,2 Yr,Not Converted,,
L07212632,,05-20-2023,Ahmedabad,Referral,2-Year,Not Converted,,
L99270890,S2042763,07-12-2024,Ludhiana,Social Media,2year,Converted,10/09/2024,159544.0
L58953061,,01/01/2023,Meerut,School Seminar,2 Yr,Not Converted,,
L49203237,,03-31-2023,Kolkata,Social Media,2 Yr,Not Converted,,
L15796820,,10-15-2024,Mumbai,Social Media,1-Year,Not Converted,,
L99770995,S2441061,2023-11-16,Chennai,Referral,2-Year,Converted,01-31-2024,178608.0
L60592005,,2024-07-03,Ghaziabad,Agent,One-Year,Not Converted,,
L64389007,,03-15-2025,Srinagar,Social Media,1 Yr,Not Converted,,
L85867507,,2025-06-12,Mumbai,Walk-in,1-Year,Not Converted,,
L64414893,S9884260,05-19-2023,Faridabad,Referral,1year,Converted,2023-07-30,163285.0
L14025278,,25/05/2024,Surat,Social Media,1-Year,Not Converted,,
L75907801,S0038588,05-17-2025,Thane,Referral,1-Year,Converted,2025-06-26,184323.0
L10362264,S2291725,04-24-2025,Amritsar,Walk-in,1year,Converted,2025-07-18,155090.0
L10254739,,16/09/2023,Surat,Referral,2-Year,Not Converted,,
L27972652,S7687821,03/11/2024,Thane,Website,2-Year,Converted,2024-12-17,175954.0
L65097622,,2025-06-20,Delhi,Social Media,1-Year,Not Converted,,
L19272381,,2024-11-20,Bengaluru,Social Media,2year,Not Converted,,
L96641402,S2957437,2023-01-10,Ahmedabad,Website,2-Year,Converted,02-02-2023,138305.0
L38026483,,18/09/2023,Delhi,Referral,2-Year,Not Converted,,
L02140353,,11/10/2024,Ludhiana,Walk-in,2-Year,Not Converted,,
L06899857,S5533056,21/06/2023,Indore,School Seminar,2-Year,Converted,08-18-2023,164632.0
L38447701,,16/06/2025,Patna,Social Media,One-Year,Not Converted,,
L37689455,S2728155,01-13-2023,Pune,Walk-in,One-Year,Converted,31/03/2023,157547.0
L51379107,,17/06/2023,Lucknow,Social Media,2-Year,Not Converted,,
L90253363,S6369551,03/10/2024,Agra,Social Media,One-Year,Converted,2024-12-02,155188.0
L67861532,S3606210,18/08/2024,Gurugram,Social Media,1-Year,Converted,06/11/2024,177236.0
L14449482,S6617843,17/11/2023,Mumbai,School Seminar,2 Yr,Converted,25/01/2024,139715.0
L09263017,,15/11/2023,Ranchi,Social Media,2-Year,Not Converted,,
L28161601,,09-04-2024,Vadodara,Walk-in,1 Yr,Not Converted,,
L06850707,,25/11/2023,Vadodara,Website,2-Year,Not Converted,,
L22683763,S3580375,23/02/2025,Bhopal,Referral,1-Year,Converted,23/05/2025,120897.0
L04523384,,2025-02-15,Bengaluru,Referral,2 Yr,Not Converted,,
L68137346,S9941723,29/06/2025,Bengaluru,Referral,1-Year,Converted,24/09/2025,123664.0
L49610990,S9707613,2024-07-03,Ghaziabad,Social Media,One-Year,Converted,2024-09-07,157440.0
L68575532,,02-23-2024,Surat,Referral,One-Year,Not Converted,,
L80739009,S9581642,28/08/2024,Amritsar,Walk-in,Two-Year,Converted,16/10/2024,182355.0
L25554785,S6213358,05/04/2023,Nagpur,Agent,1 Yr,Converted,04/05/2023,137390.0
L04542822,,2025-03-27,Chennai,Website,2year,Not Converted,,
L27347127,,08-03-2024,Faridabad,Website,1 Yr,Not Converted,,
L83359664,S1971412,11-14-2023,Lucknow,Website,2-Year,Converted,2024-01-16,157866.0
L45815745,S3112513,2023-08-24,Patna,Referral,Two-Year,Converted,2023-10-04,183948.0
L12230495,S4324509,11-30-2023,Nashik,Walk-in,1-Year,Converted,09/01/2024,155187.0
L67880125,,03/06/2025,Ranchi,Website,Two-Year,Not Converted,,
L97104691,,2024-01-11,Rajkot,Referral,2-Year,Not Converted,,
L89934571,,04-03-2024,Agra,Agent,2-Year,Not Converted,,
L88569073,,05-17-2023,Nashik,Referral,2-Year,Not Converted,,
L44482411,,08-10-2024,Gurugram,Walk-in,1 Yr,Not Converted,,
L79908536,,2024-06-30,Lucknow,Walk-in,1-Year,Not Converted,,
L34559023,S3663655,27/05/2024,Delhi,Agent,2 Yr,Converted,2024-06-11,139578.0
L58584331,S9728714,23/10/2023,Jaipur,Social Media,1 Yr,Converted,2024-01-19,143093.0
L18792556,,2023-11-16,Kolkata,Walk-in,1-Year,Not Converted,,
L02124829,S9242621,07-25-2024,Agra,Referral,1-Year,Converted,08-21-2024,115295.0
L97961287,,04-11-2025,Ludhiana,Social Media,1-Year,Not Converted,,
L09957080,S7051566,2023-12-15,Ghaziabad,School Seminar,2-Year,Converted,2024-03-02,119042.0
L29575821,,04-19-2025,Delhi,Walk-in,One-Year,Not Converted,,
L78442897,S4264333,17/02/2025,Faridabad,Walk-in,One-Year,Converted,04-05-2025,180465.0
